# gapseq version: 1.1 2f27651
# Sequence DB md5sum: 1139b8e (2021-06-02, Bacteria)
ID	Name	Prediction	Completeness	VagueReactions	KeyReactions	KeyReactionsFound	ReactionsFound
|12DICHLORETHDEG-PWY|	1,2-dichloroethane degradation	false	0	0	1	0	
|14DICHLORBENZDEG-PWY|	1,4-dichlorobenzene degradation	false	0	0	2	0	
|1CMET2-PWY|	folate transformations III (E. coli)	false	55	0	0	0	DIHYDROFOLATEREDUCT-RXN GCVMULTI-RXN METHENYLTHFCYCLOHYDRO-RXN METHYLENETHFDEHYDROG-NADP-RXN THYMIDYLATESYN-RXN 
|2AMINOBENZDEG-PWY|	anthranilate degradation III (anaerobic)	false	0	0	0	0	
|2ASDEG-PWY|	orthanilate degradation	false	25	1	0	0	
|2PHENDEG-PWY|	phenylethylamine degradation I	false	0	0	1	0	
|3-HYDROXYPHENYLACETATE-DEGRADATION-PWY|	4-hydroxyphenylacetate degradation	false	0	0	1	0	
|4-HYDROXYMANDELATE-DEGRADATION-PWY|	4-hydroxymandelate degradation	false	0	0	1	0	
|4TOLCARBDEG-PWY|	4-toluenecarboxylate degradation	false	0	0	0	0	
|6-HYDROXYCINEOLE-DEGRADATION-PWY|	1,8-cineole degradation	false	0	3	0	0	
|ACETOACETATE-DEG-PWY|	acetoacetate degradation (to acetyl CoA)	false	0	0	1	0	
|AEROBACTINSYN-PWY|	aerobactin biosynthesis	false	0	0	0	0	
|ALACAT2-PWY|	L-alanine degradation II (to D-lactate)	false	66	0	0	0	ALANINE-AMINOTRANSFERASE-RXN GLUTAMATE-DEHYDROGENASE-RXN 
|ALADEG-PWY|	L-alanine degradation I	false	50	0	1	0	ALARACECAT-RXN 
|ALANINE-SYN2-PWY|	L-alanine biosynthesis II	true	100	0	0	0	ALANINE-AMINOTRANSFERASE-RXN 
|ALANINE-VALINESYN-PWY|	L-alanine biosynthesis I	true	100	0	0	0	BRANCHED-CHAINAMINOTRANSFERVAL-RXN VALINE-PYRUVATE-AMINOTRANSFER-RXN 
|ALKANEMONOX-PWY|	two-component alkanesulfonate monooxygenase	false	0	0	1	0	
|AMMOXID-PWY|	ammonia oxidation I (aerobic)	false	0	0	0	0	
|ANAGLYCOLYSIS-PWY|	glycolysis III (from glucose)	true	81	0	1	1	F16ALDOLASE-RXN TRIOSEPISOMERIZATION-RXN GAPOXNPHOSPHN-RXN PHOSGLYPHOS-RXN 2PGADEHYDRAT-RXN PEPDEPHOS-RXN RXN-15513 PGLUCISOM-RXN GLUCOKIN-RXN 
|ANAPHENOXI-PWY|	L-phenylalanine degradation II (anaerobic)	false	33	0	0	0	RXN-10814 
|ARABCAT-PWY|	L-arabinose degradation I	false	33	0	0	0	ARABISOM-RXN 
|ARGASEDEG-PWY|	L-arginine degradation I (arginase pathway)	false	33	0	0	0	ORNITHINE-GLU-AMINOTRANSFERASE-RXN 
|ARGDEG-III-PWY|	L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)	false	0	0	0	0	
|ARGDEG-IV-PWY|	L-arginine degradation VIII (arginine oxidase pathway)	false	0	0	1	0	
|ARGDEG-V-PWY|	L-arginine degradation X (arginine monooxygenase pathway)	false	0	0	1	0	
|ARG-GLU-PWY|	L-arginine degradation VII (arginase 3 pathway)	false	0	0	0	0	
|ARG-PRO-PWY|	L-arginine degradation VI (arginase 2 pathway)	false	66	0	2	1	PYRROLINECARBREDUCT-RXN ORNITHINE-GLU-AMINOTRANSFERASE-RXN 
|ARGSPECAT-PWY|	spermine biosynthesis	false	0	0	1	0	
|ARGSYNBSUB-PWY|	L-arginine biosynthesis II (acetyl cycle)	true	100	0	2	2	ARGSUCCINSYN-RXN ARGSUCCINLYA-RXN ORNCARBAMTRANSFER-RXN ACETYLORNTRANSAM-RXN N-ACETYLGLUTPREDUCT-RXN ACETYLGLUTKIN-RXN GLUTAMATE-N-ACETYLTRANSFERASE-RXN CARBPSYN-RXN N-ACETYLTRANSFER-RXN 
|ASPARAGINE-BIOSYNTHESIS|	L-asparagine biosynthesis I	false	0	0	0	0	
|ASPARAGINE-DEG1-PWY|	L-asparagine degradation I	false	0	0	0	0	
|ASPARAGINESYN-PWY|	L-asparagine biosynthesis II	false	0	0	0	0	
|ASPARTATE-DEG1-PWY|	L-aspartate degradation I	true	100	0	0	0	ASPAMINOTRANS-RXN 
|ASPARTATESYN-PWY|	L-aspartate biosynthesis	true	100	0	0	0	ASPAMINOTRANS-RXN 
|AST-PWY|	L-arginine degradation II (AST pathway)	false	20	0	0	0	SUCCORNTRANSAM-RXN 
|BETSYN-PWY|	glycine betaine biosynthesis I (Gram-negative bacteria)	false	0	0	0	0	
|BGALACT-PWY|	lactose degradation III	true	100	0	0	0	BETAGALACTOSID-RXN 
|BSUBPOLYAMSYN-PWY|	spermidine biosynthesis I	false	50	0	0	0	SPERMIDINESYN-RXN 
|CALVIN-PWY|	Calvin-Benson-Bassham cycle	false	69	0	1	0	PHOSGLYPHOS-RXN 1.2.1.13-RXN TRIOSEPISOMERIZATION-RXN F16ALDOLASE-RXN SEDOBISALDOL-RXN 1TRANSKETO-RXN 2TRANSKETO-RXN RIBULP3EPIM-RXN RIB5PISOM-RXN 
|CARNMET-PWY|	L-carnitine degradation I	false	0	0	0	0	
|CATECHOL-ORTHO-CLEAVAGE-PWY|	catechol degradation to &beta;-ketoadipate	false	0	0	1	0	
|CENTBENZCOA-PWY|	benzoyl-CoA degradation II (anaerobic)	false	14	1	1	0	
|CENTFERM-PWY|	pyruvate fermentation to butanoate	false	0	0	0	0	
|CHLOROPHYLL-SYN|	3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)	false	0	0	2	0	
|CHOLINE-BETAINE-ANA-PWY|	choline degradation I	false	0	0	0	0	
|CITRULLINE-DEG-PWY|	L-citrulline degradation	false	50	0	1	1	ORNCARBAMTRANSFER-RXN 
|COA-PWY|	coenzyme A biosynthesis I (prokaryotic)	false	50	0	1	0	PANTEPADENYLYLTRAN-RXN DEPHOSPHOCOAKIN-RXN 
|CODH-PWY|	reductive acetyl coenzyme A pathway I (homoacetogenic bacteria)	false	30	0	2	0	METHENYLTHFCYCLOHYDRO-RXN FORMATETHFLIG-RXN METHYLENETHFDEHYDROG-NADP-RXN 
|CRNFORCAT-PWY|	creatinine degradation I	false	25	0	0	0	CREATININASE-RXN 
|CYANCAT-PWY|	cyanate degradation	false	0	0	1	0	
|CYCLOHEXANOL-OXIDATION-PWY|	cyclohexanol degradation	false	0	0	1	0	
|CYSTSYN-PWY|	L-cysteine biosynthesis I	false	50	0	0	0	ACSERLY-RXN 
|DAPLYSINESYN-PWY|	L-lysine biosynthesis I	true	77	0	1	1	DIAMINOPIMDECARB-RXN SUCCDIAMINOPIMDESUCC-RXN SUCCINYLDIAMINOPIMTRANS-RXN TETHYDPICSUCC-RXN DIHYDRODIPICSYN-RXN ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN RXN-14014 
|DARABCATK12-PWY|	D-arabinose degradation I	false	25	0	1	0	DARABKIN-RXN 
|DARABCAT-PWY|	D-arabinose degradation II	false	0	0	2	0	
|DARABITOLUTIL-PWY|	D-arabitol degradation	false	50	0	0	0	XYLULOKIN-RXN 
|DENITRIFICATION-PWY|	nitrate reduction I (denitrification)	false	20	1	2	0	
|DESULFONATION-PWY|	benzenesulfonate degradation	false	0	1	0	0	
|DETOX1-PWY|	superoxide radicals degradation	false	0	0	0	0	
|DHGLUCONATE-PYR-CAT-PWY|	glucose degradation (oxidative)	false	0	0	0	0	
|DISSULFRED-PWY|	dissimilatory sulfate reduction I (to hydrogen sufide))	false	25	0	0	0	SULFATE-ADENYLYLTRANS-RXN 
|DTDPRHAMSYN-PWY|	dTDP-&beta;-L-rhamnose biosynthesis	false	50	0	0	0	DTDPGLUCOSEPP-RXN DTDPGLUCDEHYDRAT-RXN 
|ENTNER-DOUDOROFF-PWY|	Entner-Doudoroff shunt	false	0	0	0	0	
|ETOH-ACETYLCOA-ANA-PWY|	ethanol degradation I	false	50	0	1	1	ACETALD-DEHYDROG-RXN 
|FAO-PWY|	fatty acid &beta;-oxidation I (generic)	false	0	0	0	0	
|FASYN-ELONG-PWY|	fatty acid elongation -- saturated	false	20	0	0	0	ENOYL-ACP-REDUCT-NADPH-RXN 
|FERMENTATION-PWY|	mixed acid fermentation	false	75	0	0	0	PHOSACETYLTRANS-RXN ACETATEKIN-RXN PYRUVFORMLY-RXN ACETALD-DEHYDROG-RXN PEPDEPHOS-RXN FUMHYDR-RXN PEPCARBOX-RXN R601-RXN CITSYN-RXN ACONITATEDEHYDR-RXN ACONITATEHYDR-RXN ISOCITDEH-RXN 
|FESULFOX-PWY|	sulfur oxidation II (Fe+3-dependent)	false	0	2	0	0	
|FLUORENE-DEG-9-ONE-PWY|	fluorene degradation I	false	0	5	0	0	
|FORMASS-PWY|	formaldehyde oxidation IV (thiol-independent)	false	0	0	0	0	
|FUCCAT-PWY|	fucose degradation	false	25	0	1	0	FUCULOKIN-RXN 
|GALACTARDEG-PWY|	D-galactarate degradation I	false	25	0	0	0	GKI-RXN 
|GALACTCAT-PWY|	D-galactonate degradation	false	33	0	0	0	GALACTONDEHYDRAT-RXN 
|GALACTITOLCAT-PWY|	galactitol degradation	false	0	0	1	0	
|GALACTUROCAT-PWY|	D-galacturonate degradation I	false	0	0	0	0	
|GALDEG-PWY|	D-galactose degradation II	false	0	0	1	0	
|GALLATE-DEGRADATION-II-PWY|	gallate degradation I	false	0	0	1	0	
|GALLATE-DEGRADATION-I-PWY|	gallate degradation II	false	0	0	1	0	
|GAMMAHEXCHLORDEG-PWY|	&gamma;-hexachlorocyclohexane degradation	false	0	0	1	0	
|GDPRHAMSYN-PWY|	GDP-D-rhamnose biosynthesis	false	0	0	1	0	
|GLNSYN-PWY|	L-glutamine biosynthesis I	true	100	0	0	0	GLUTAMINESYN-RXN 
|GLUAMCAT-PWY|	N-acetylglucosamine degradation I	false	50	0	0	0	GLUCOSAMINE-6-P-DEAMIN-RXN 
|GLUCARDEG-PWY|	D-glucarate degradation I	false	25	0	0	0	GKI-RXN 
|GLUCONEO-PWY|	gluconeogenesis I	false	53	0	0	0	F16ALDOLASE-RXN GAPOXNPHOSPHN-RXN PHOSGLYPHOS-RXN 2PGADEHYDRAT-RXN MALIC-NADP-RXN TRIOSEPISOMERIZATION-RXN PGLUCISOM-RXN 
|GLUCONSUPER-PWY|	D-gluconate degradation	false	0	0	0	0	
|GLUCOSE1PMETAB-PWY|	glucose and glucose-1-phosphate degradation	false	50	0	0	0	PHOSPHOGLUCMUT-RXN GLUCOKIN-RXN 
|GLUTAMATE-DEG1-PWY|	L-glutamate degradation I	true	100	0	0	0	GLUTAMATE-DEHYDROGENASE-RXN 
|GLUTAMATE-SYN2-PWY|	L-glutamate biosynthesis II	true	100	0	0	0	GLUTAMATE-DEHYDROGENASE-NADP+-RXN 
|GLUTAMINDEG-PWY|	L-glutamine degradation I	true	100	0	0	0	GLUTAMIN-RXN 
|GLUTAMINEFUM-PWY|	L-glutamine degradation II	true	100	0	0	0	GLUTAMATESYN-RXN 
|GLUTATHIONESYN-PWY|	glutathione biosynthesis	false	0	0	0	0	
|GLUTDEG-PWY|	L-glutamate degradation II	true	100	0	0	0	ASPAMINOTRANS-RXN ASPARTASE-RXN 
|GLUTORN-PWY|	L-ornithine biosynthesis I	true	80	0	0	0	N-ACETYLTRANSFER-RXN ACETYLGLUTKIN-RXN N-ACETYLGLUTPREDUCT-RXN ACETYLORNTRANSAM-RXN 
|GLUT-REDOX-PWY|	glutathione-glutaredoxin redox reactions	false	0	0	0	0	
|GLUTSYNIII-PWY|	L-glutamate biosynthesis III	true	100	0	0	0	GLUTDEHYD-RXN 
|GLUTSYN-PWY|	L-glutamate biosynthesis I	true	100	0	0	0	GLUTAMIN-RXN GLUTDEHYD-RXN 
|GLYCEROLMETAB-PWY|	glycerol degradation V	false	0	0	0	0	
|GLYCLEAV-PWY|	glycine cleavage	false	33	0	1	0	RXN-8629 
|GLYCOCAT-PWY|	glycogen degradation I	true	100	0	1	1	AMYLOMALT-RXN GLYCOPHOSPHORYL-RXN RXN0-5146 RXN0-5183 PHOSPHOGLUCMUT-RXN GLUCOKIN-RXN RXN0-5182 RXN-21092 
|GLYCOGENSYNTH-PWY|	glycogen biosynthesis I (from ADP-D-Glucose)	false	75	0	1	0	GLYCOGEN-BRANCH-RXN GLUC1PADENYLTRANS-RXN PHOSPHOGLUCMUT-RXN 
