rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
ISOPIPERITENOL-DEHYDROGENASE-RXN	(-)-isopiperitenol dehydrogenase	1.1.1.223	NA									|PWY-3061|	no_seq_data	NA	rxn02336 rxn19950 	NA	0	NA
--LIMONENE-3-MONOOXYGENASE-RXN	(-)-limonene-3-hydroxylase	1.14.14.99	NA									|PWY-3061|	no_seq_data	NA	rxn01787 	NA	0	NA
+-NEOMENTHOL-DEHYDROGENASE-RXN	(+)-neomenthol:NADP+ oxidoreductase	1.1.1.208	NA	UniRef50_A0A2X4AJR5	29.911	7.13e-15	70.5	93	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1139840	1139241	|PWY-3061|	bad_blast	NA	rxn01850 	NA	0	NA
4.2.3.16-RXN	limonene synthase	4.2.3.16	NA									|PWY-3061|	no_seq_data	NA	rxn01473 rxn04136 rxn39093 	NA	0	NA
--MENTHOL-DEHYDROGENASE-RXN	(-)-menthol:NADP+ oxidoreductase	1.1.1.207	NA									|PWY-3061|	no_seq_data	NA	rxn01566 	NA	0	NA
RXN-5162	RXN-5162	5.3.3	NA									|PWY-3061|	no_seq_data	NA	 	NA	0	NA
RXN-5163	(-)-menthone:NADP+ oxidoreductase	1.3.1.81	NA									|PWY-3061|	no_blast	NA	rxn04281 rxn04282 	NA	0	NA
RXN-5161	(-)-isopiperitenone reductase	1.3.1.82	NA									|PWY-3061|	no_seq_data	NA	rxn14271 	NA	0	NA
RXN-5166	(+)-neoisomenthol:NADP+ oxidoreductase		NA									|PWY-3061|	no_seq_data	NA	 	NA	0	NA
RXN-5165	(+)-isomenthol:NADP+ oxidoreductase		NA									|PWY-3061|	no_seq_data	NA	 	NA	0	NA
RXN-5164	(+)-isomenthone:NADP+ oxidoreductase	1.3.1.81	NA									|PWY-3061|	no_blast	NA	rxn04281 rxn04282 	NA	0	NA
1.14.13.104-RXN	(+)-menthofuran synthase	1.14.14.143	NA									|PWY-3061|	no_seq_data	NA	rxn14129 	NA	0	NA
