# gapseq version: 1.1 2f27651
# Transporter sequence DB md5sum: 878d922 (2021-07-07)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	25.837	6.98e-08	49.7	78	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	462230	462832	transporter
gnl|TC-DB|P37002|1.A.43.1.1	1.A.43.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P37002|1.A.43.1.1	37.113	5.97e-08	46.2	84	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	926420	926707	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q981D4|1.A.62.3.1	26.500	3.11e-10	55.5	92	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	632740	632153	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q981D4|1.A.62.3.1	26.500	3.11e-10	55.5	92	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	632740	632153	transporter
gnl|TC-DB|Q9XG70|1.A.8.10.2	1.A.8.10.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9XG70|1.A.8.10.2	26.457	2.56e-09	53.9	88	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	517788	517150	transporter
gnl|TC-DB|P0AER0|1.A.8.1.1	1.A.8.1.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P0AER0|1.A.8.1.1	31.837	2.14e-17	78.6	85	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1347693	1347007	transporter
gnl|TC-DB|P08995|1.A.8.12.1	1.A.8.12.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P08995|1.A.8.12.1	29.918	1.40e-12	63.9	80	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1347732	1347004	transporter
gnl|TC-DB|Q8W037|1.A.8.12.4	1.A.8.12.4	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8W037|1.A.8.12.4	25.498	5.70e-09	53.5	80	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1347732	1347004	transporter
gnl|TC-DB|Q9C4Z5|1.A.8.13.2	1.A.8.13.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9C4Z5|1.A.8.13.2	30.645	5.28e-13	64.7	95	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1347702	1347010	transporter
gnl|TC-DB|D7VF10|1.A.8.13.3	1.A.8.13.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VF10|1.A.8.13.3	26.923	4.12e-06	43.5	95	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1347693	1347007	transporter
gnl|TC-DB|P18156|1.A.8.2.1	1.A.8.2.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P18156|1.A.8.2.1	44.348	5.78e-48	167	82	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1347696	1347013	transporter
gnl|TC-DB|ABT13584.1|1.A.8.2.10	1.A.8.2.10	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|ABT13584.1|1.A.8.2.10	35.156	1.27e-18	82.0	94	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1347708	1347007	transporter
gnl|TC-DB|P22094|1.A.8.2.2	1.A.8.2.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P22094|1.A.8.2.2	40.860	7.86e-51	176	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1347714	1347019	transporter
gnl|TC-DB|P52280|1.A.8.2.3	1.A.8.2.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P52280|1.A.8.2.3	30.417	7.55e-18	79.0	93	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1347690	1347016	transporter
gnl|TC-DB|C6VJ63|1.A.8.2.4	1.A.8.2.4	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|C6VJ63|1.A.8.2.4	39.316	7.05e-37	134	95	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1347693	1347004	transporter
gnl|TC-DB|D7V7W8|1.A.8.2.5	1.A.8.2.5	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7V7W8|1.A.8.2.5	37.963	3.29e-29	111	90	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1347681	1347043	transporter
gnl|TC-DB|D7V8E7|1.A.8.2.6	1.A.8.2.6	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7V8E7|1.A.8.2.6	44.344	1.41e-42	150	91	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1347705	1347043	transporter
gnl|TC-DB|D7VEY8|1.A.8.2.7	1.A.8.2.7	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VEY8|1.A.8.2.7	54.167	1.15e-68	226	86	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1347693	1347064	transporter
gnl|TC-DB|D7VC84|1.A.8.2.8	1.A.8.2.8	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VC84|1.A.8.2.8	37.447	1.62e-26	103	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1347702	1347010	transporter
gnl|TC-DB|D0JBC9|1.A.8.2.9	1.A.8.2.9	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D0JBC9|1.A.8.2.9	39.419	9.98e-37	134	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1347696	1347004	transporter
gnl|TC-DB|P47862|1.A.8.9.1	1.A.8.9.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P47862|1.A.8.9.1	34.940	3.99e-27	107	84	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1347714	1347004	transporter
gnl|TC-DB|806392255|1.A.8.9.10	1.A.8.9.10	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|806392255|1.A.8.9.10	29.644	2.51e-14	69.7	84	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1347726	1347004	transporter
gnl|TC-DB|Q8WPZ6|1.A.8.9.13	1.A.8.9.13	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8WPZ6|1.A.8.9.13	31.304	3.57e-16	74.3	86	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1347693	1347016	transporter
gnl|TC-DB|O43315|1.A.8.9.14	1.A.8.9.14	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|O43315|1.A.8.9.14	30.078	1.03e-20	89.0	84	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1347729	1347004	transporter
gnl|TC-DB|Q388I5|1.A.8.9.19	1.A.8.9.19	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q388I5|1.A.8.9.19	28.807	4.83e-12	63.2	75	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1347699	1347004	transporter
gnl|TC-DB|Q6ZXT2|1.A.8.9.21	1.A.8.9.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q6ZXT2|1.A.8.9.21	30.992	1.32e-18	82.8	77	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1347699	1347004	transporter
gnl|TC-DB|Q6ZXT2|1.A.8.9.21	1.A.8.9.21	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q6ZXT2|1.A.8.9.21	30.992	1.32e-18	82.8	77	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1347699	1347004	transporter
