# gapseq version: 1.2 0d0123e
# Transporter sequence DB md5sum: b99a77e (2022-02-04)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	28.507	2.29e-25	97.1	84	WP_100273206.1 SDR family oxidoreductase [Streptococcus thermophilus]	4	221	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	26.383	5.51e-22	88.6	82	WP_100273206.1 SDR family oxidoreductase [Streptococcus thermophilus]	9	226	transporter
gnl|TC-DB|P54710|1.A.27.2.1	1.A.27.2.1	POTASSIUM	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P54710|1.A.27.2.1	28.378	0.66	23.5	86	WP_111679529.1 prolipoprotein diacylglyceryl transferase [Streptococcus thermophilus]	189	262	transporter
gnl|TC-DB|P54710|1.A.27.2.1	1.A.27.2.1	SODIUM	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P54710|1.A.27.2.1	28.378	0.66	23.5	86	WP_111679529.1 prolipoprotein diacylglyceryl transferase [Streptococcus thermophilus]	189	262	transporter
gnl|TC-DB|Q8EGR6|1.A.30.1.6	1.A.30.1.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q8EGR6|1.A.30.1.6	23.744	3.2	24.6	82	WP_014622007.1 DNA-directed RNA polymerase subunit beta [Streptococcus thermophilus]	124	329	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|O00631|1.A.50.2.1	33.333	5.4	18.9	97	WP_084828862.1 cell wall metabolism sensor histidine kinase VicK [Streptococcus thermophilus]	6	35	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|O00631|1.A.50.2.1	33.333	5.4	18.9	97	WP_084828862.1 cell wall metabolism sensor histidine kinase VicK [Streptococcus thermophilus]	6	35	transporter
gnl|TC-DB|P03493|1.A.58.1.1	1.A.58.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P03493|1.A.58.1.1	25.581	6.7	21.9	75	WP_100262595.1 polyribonucleotide nucleotidyltransferase [Streptococcus thermophilus]	248	330	transporter
gnl|TC-DB|I0K9D5|1.A.78.2.1	1.A.78.2.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|I0K9D5|1.A.78.2.1	24.873	1.27e-11	57.4	95	WP_223899757.1 TMEM175 family protein [Streptococcus thermophilus]	9	187	transporter
gnl|TC-DB|K9UJK2|1.A.78.2.10	1.A.78.2.10	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|K9UJK2|1.A.78.2.10	24.051	3.81e-10	53.1	78	WP_223899757.1 TMEM175 family protein [Streptococcus thermophilus]	12	154	transporter
