# gapseq version: 1.2 0f03bf3
# Transporter sequence DB md5sum: b99a77e (2022-02-04)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	30.992	3.62e-17	75.1	82	WP_003619787.1 SDR family oxidoreductase [Lactobacillus delbrueckii]	12	235	transporter
gnl|TC-DB|P54710|1.A.27.2.1	1.A.27.2.1	POTASSIUM	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P54710|1.A.27.2.1	24.138	3.6	21.2	80	WP_011543871.1 asparagine--tRNA ligase [Lactobacillus delbrueckii]	163	220	transporter
gnl|TC-DB|P54710|1.A.27.2.1	1.A.27.2.1	SODIUM	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P54710|1.A.27.2.1	24.138	3.6	21.2	80	WP_011543871.1 asparagine--tRNA ligase [Lactobacillus delbrueckii]	163	220	transporter
gnl|TC-DB|NP_001116266.1|1.A.27.2.3	1.A.27.2.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|NP_001116266.1|1.A.27.2.3	28.302	0.98	22.3	87	WP_011544285.1 O-antigen ligase family protein [Lactobacillus delbrueckii]	402	451	transporter
gnl|TC-DB|NP_001116266.1|1.A.27.2.3	1.A.27.2.3	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|NP_001116266.1|1.A.27.2.3	28.302	0.98	22.3	87	WP_011544285.1 O-antigen ligase family protein [Lactobacillus delbrueckii]	402	451	transporter
gnl|TC-DB|AJP61612.1|1.A.40.1.2	1.A.40.1.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|AJP61612.1|1.A.40.1.2	29.412	8.3	20.8	78	WP_003620441.1 class II fumarate hydratase [Lactobacillus delbrueckii]	145	206	transporter
gnl|TC-DB|AJP61612.1|1.A.40.1.2	1.A.40.1.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|AJP61612.1|1.A.40.1.2	29.412	8.3	20.8	78	WP_003620441.1 class II fumarate hydratase [Lactobacillus delbrueckii]	145	206	transporter
gnl|TC-DB|P26678|1.A.50.1.1	1.A.50.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P26678|1.A.50.1.1	30.233	9.9	19.2	83	WP_011544333.1 ABC transporter ATP-binding protein/permease [Lactobacillus delbrueckii]	609	648	transporter
gnl|TC-DB|V6HIG4|1.A.78.2.2	1.A.78.2.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|V6HIG4|1.A.78.2.2	23.684	0.025	30.0	94	WP_003620946.1 TMEM175 family protein [Lactobacillus delbrueckii]	53	235	transporter
gnl|TC-DB|K9UKU9|1.A.78.2.9	1.A.78.2.9	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|K9UKU9|1.A.78.2.9	42.211	1.02e-36	124	100	WP_011544180.1 TMEM175 family protein [Lactobacillus delbrueckii]	1	195	transporter
