# gapseq version: 1.1 2f27651
# Transporter sequence DB md5sum: 878d922 (2021-07-07)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	41.379	2.07e-111	368	81	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	1667971	1666286	transporter
gnl|TC-DB|M1I9Q3|1.A.1.12.4	1.A.1.12.4	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|M1I9Q3|1.A.1.12.4	26.829	1.5	24.6	82	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2265946	2266185	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	31.395	5.66e-18	80.5	95	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	1728774	1728022	transporter
gnl|TC-DB|O06873|1.A.30.1.2	1.A.30.1.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|O06873|1.A.30.1.2	40.873	2.67e-58	196	98	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	1676097	1675342	transporter
gnl|TC-DB|P39063|1.A.30.1.4	1.A.30.1.4	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P39063|1.A.30.1.4	42.593	1.12e-51	178	79	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	1676001	1675354	transporter
gnl|TC-DB|Q8EGR6|1.A.30.1.6	1.A.30.1.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q8EGR6|1.A.30.1.6	38.996	1.71e-50	174	99	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	1676097	1675321	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|O00631|1.A.50.2.1	33.333	2.8	20.8	84	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	34418	34338	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|O00631|1.A.50.2.1	33.333	2.8	20.8	84	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	34418	34338	transporter
gnl|TC-DB|Q50E47|1.A.98.1.2	1.A.98.1.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q50E47|1.A.98.1.2	28.571	4.9	21.6	83	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	655853	655999	transporter
gnl|TC-DB|Q9HC98|1.I.1.1.3	1.I.1.1.3	Potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q9HC98|1.I.1.1.3	27.711	2.69e-26	106	86	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2205411	2204680	transporter
